ANGELEGT_AM,TATZEIT_ANFANG_DATUM,TATZEIT_ANFANG_STUNDE,TATZEIT_ENDE_DATUM,TATZEIT_ENDE_STUNDE,SCHADENSHOEHE,VERSUCH,ART_DES_FAHRRADS,DELIKT,ERFASSUNGSGRUND,bezirk_id,bezirk_name,ZEITUNTERSCHIED,ZEIT_BIS_TATZEIT
2023-09-09,2023-09-09,06:00,2023-09-09,18:00,2800,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,0 days,0 days
2023-09-09,2023-09-08,21:00,2023-09-08,21:00,410,Nein,Herrenfahrrad,Keller- und Bodeneinbruch,Sonstiger schwerer Diebstahl in/aus Keller/Boden von Fahrrädern,7,Tempelhof-Schöneberg,0 days,1 days
2023-09-09,2023-09-08,20:00,2023-09-09,08:00,2578,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,5,Spandau,1 days,1 days
2023-09-09,2023-09-09,16:00,2023-09-09,18:00,4619,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,6,Steglitz-Zehlendorf,0 days,0 days
2023-09-09,2023-09-07,18:00,2023-09-07,23:00,399,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,0 days,2 days
2023-09-09,2023-08-31,19:00,2023-09-01,08:00,300,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,1 days,9 days
2023-09-09,2023-09-07,19:00,2023-09-08,08:00,2067,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,3,Pankow,1 days,2 days
2023-09-09,2023-09-09,09:00,2023-09-09,16:00,960,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,10,Marzahn-Hellersdorf,0 days,0 days
2023-09-09,2023-09-08,16:00,2023-09-08,20:00,1260,Nein,diverse Fahrräder,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,0 days,1 days
2023-09-09,2023-09-09,20:00,2023-09-09,20:00,2600,Nein,Fahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,2,Friedrichshain-Kreuzberg,0 days,0 days
2023-09-08,2023-09-07,15:00,2023-09-08,05:00,595,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,11,Lichtenberg,1 days,1 days
2023-09-08,2023-09-05,20:00,2023-09-06,09:00,2179,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,1 days,3 days
2023-09-08,2023-09-07,22:00,2023-09-08,10:00,494,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,7,Tempelhof-Schöneberg,1 days,1 days
2023-09-08,2023-09-07,20:00,2023-09-08,10:00,2717,Nein,Damenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,8,Neukölln,1 days,1 days
2023-09-08,2023-08-22,08:00,2023-08-23,16:00,850,Nein,Herrenfahrrad,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,1,Mitte,1 days,17 days
2023-09-08,2023-09-08,15:00,2023-09-08,15:00,950,Nein,Mountainbike,Fahrraddiebstahl,Sonstiger schwerer Diebstahl von Fahrrädern,12,Reinickendorf,0 days,0 days
